food_id,name,slug,category,synonyms,pantry_min_days,pantry_max_days,fridge_min_days,fridge_max_days,freezer_min_days,freezer_max_days,spoilage_signs,storage_tips,notes,high_risk_food,default_affiliate_tags
white_rice_dry,White Rice Dry,white-rice-dry,grains,rice|long grain rice|dry rice,180,720,0,0,0,0,bugs|musty odor|discoloration,store airtight|keep dry|keep away from heat,Pantry staple,false,pantry|airtight-container|grain-storage
rolled_oats_dry,Rolled Oats Dry,rolled-oats-dry,grains,oats|old fashioned oats|dry oats,120,365,0,0,0,0,rancid smell|off taste|insects,seal tightly|store cool|use first in first out,Pantry staple,false,pantry|oats|airtight-container
milk_whole,Whole Milk,whole-milk,dairy,milk|dairy milk|whole dairy milk,0,0,5,7,30,90,sour smell|curdling|swollen carton,keep at back of fridge|close cap tightly|avoid door storage,Use quickly after opening,true,dairy|fridge-storage|high-risk
eggs_shell,Eggs In Shell,eggs-in-shell,protein,eggs|whole eggs|shell eggs,0,0,21,35,0,0,sulfur odor|slimy shell|cracked leaking shell,keep in original carton|store cold|avoid door storage,Do not wash before storage,true,eggs|fridge-storage|high-risk
chicken_raw,Chicken Raw,chicken-raw,protein,raw chicken|chicken breast|chicken thigh,0,0,1,2,180,270,sour odor|sticky texture|gray color,store on bottom shelf|keep sealed|freeze if not using soon,Very short fridge window,true,raw-meat|high-risk|freezer-storage
ground_beef_raw,Ground Beef Raw,ground-beef-raw,protein,raw ground beef|minced beef|hamburger meat,0,0,1,2,90,120,sour odor|tacky texture|brown gray color,store coldest area|keep sealed|freeze promptly,High spoilage risk,true,raw-meat|high-risk|freezer-storage
salmon_raw,Salmon Raw,salmon-raw,seafood,raw salmon|fresh salmon|salmon fillet,0,0,1,2,60,90,fishy ammonia odor|slimy surface|dull flesh,keep very cold|store sealed|freeze same day if possible,Seafood spoils quickly,true,seafood|high-risk|freezer-storage
lettuce_romaine,Romaine Lettuce,romaine-lettuce,produce,romaine|lettuce|salad greens,0,0,5,7,0,0,slimy leaves|dark spots|sour smell,wash right before use|store dry|use breathable bag,Leafy greens lose quality fast,false,produce|fridge-storage|freshness
apple_whole,Apple Whole,apple-whole,produce,apple|fresh apple|whole apples,5,14,30,45,180,240,soft spots|fermented smell|mold,keep dry|refrigerate for longer life|separate from leafy produce,Ethylene producer,false,produce|longer-storage|fruit
strawberries_fresh,Strawberries Fresh,strawberries-fresh,produce,strawberries|berries|fresh berries,0,0,3,5,180,240,mold|leaking juice|fermented smell,keep dry|refrigerate unwashed|remove bad berries quickly,Very perishable fruit,false,produce|berries|fridge-storage
bread_sliced,Bread Sliced,bread-sliced,bakery,sandwich bread|loaf bread|sliced loaf,3,7,7,14,60,90,mold|stale hard texture|off odor,keep sealed|store cool and dry|freeze extra loaves,Humidity shortens shelf life,false,bakery|pantry-storage|freezer-storage
rice_cooked,Cooked Rice,rice-cooked,cooked_foods,cooked rice|leftover rice|prepared rice,0,0,3,4,30,60,sour smell|slimy grains|visible mold,cool quickly|refrigerate within 2 hours|reheat thoroughly,Use shallow container,true,leftovers|high-risk|meal-prep
chicken_cooked,Cooked Chicken,chicken-cooked,cooked_foods,cooked chicken|leftover chicken|prepared chicken,0,0,3,4,60,120,sour odor|slimy surface|color change,cool quickly|refrigerate within 2 hours|reheat to safe temp,Follow strict leftover timing,true,leftovers|high-risk|meal-prep
